vendor,current_price,old_price,product_name,price_per_unit,year,month,day
TandT,10.99,13.43,T&T Japanese Curry Beef (450g),0,2024,6,11
TandT,10.99,13.43,T&T Japanese Curry Beef (450g),0,2024,6,11
TandT,10.99,11.99,T&T Japanese Curry Beef (450g),0,2024,6,12
TandT,10.99,11.99,T&T Japanese Curry Beef (450g),0,2024,6,13
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,12
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,13
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,14
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,15
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,16
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,17
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,18
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,19
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,19
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,20
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,22
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,23
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,24
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,25
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,26
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,28
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,29
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,30
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,7,31
TandT,7.99,9.99,Shirakiku Cooked Sukiyaki Beef (250g),0,2024,8,1
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,15
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,17
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,18
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,20
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,20
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,21
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,22
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,23
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,24
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,26
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,27
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,28
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,29
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,6,30
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,1
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,2
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,3
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,4
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,5
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,6
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,8
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,9
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,13
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,14
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,15
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,16
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",1.5,2024,7,17
